            format    M     quality
              BPSK    2    1.000000
              QPSK    4    1.000000
              8PSK    8    1.000000
             16PSK   16    1.000000
               OOK    1    1.000000
             16QAM    4    0.515152
             64QAM    4    0.448276
            256QAM    4    0.433390
           1024QAM    4    0.429769
           4096QAM    4    0.428871
     32QAM (cross)    4    0.145038
    128QAM (cross)    4    0.135135
   2048QAM (cross)    4    0.132156
         16STARQAM    8    1.000000
         32STARQAM   16    1.000000
    32APSK 4/12/16    4    0.000500
       16APSK 4/12    4    0.006053
