commanded_hz	actual_hz	aperture_s	sample_rate_hz	ticks
10	10.0386976	0.020587	48.574343032010489	308805
14.25102670302998	14.0541766	0.014705	68.004080244814688	220575
20.309176209047358	20.0608296	0.010302	97.06853038245	154530
28.942661247167511	29.0834037	0.007106	140.72614691809738	106590
41.246263829013515	41.0704822	0.005032	198.72813990461049	75480
58.780160722749116	59.0138968	0.003502	285.55111364934322	52530
83.7677640068292	84.1705132	0.00245533333	407.27667717523303	36829.99995
119.37766417144366	119.184929	0.001734	576.70126874279117	26010
170.12542798525888	170.180061	0.0012144	823.45191040843213	18216
242.44620170823288	242.168581	0.0008534	1171.7834544176235	12801
345.51072945922181	347.338936	0.000595	1680.672268907563	8925
492.38826317067389	492.063492	0.00042	2380.9523809523807	6300
701.703828670383	702.947846	0.000294	3401.3605442176872	4410
999.99999999999977	1001.93924	0.000206266667	4848.0930755525324	3094.000005
1425.1026703029981	1429.23006	0.0001446	6915.6293222683271	2169
2030.9176209047362	2034.12073	0.0001016	9842.51968503937	1524
2894.2661247167503	2897.19626	7.13333333E-05	14018.691595335837	1069.9999995
4124.6263829013524	4133.33333	5E-05	20000	750
5878.0160722749142	5904.7619	3.5E-05	28571.428571428572	525
8376.7764006829184	8378.37838	2.46666667E-05	40540.540485756028	370.0000005
11937.766417144358	12015.5039	1.72E-05	58139.534883720924	258
17012.542798525883	17032.967	1.21333333E-05	82417.582644004346	181.9999995
24244.620170823284	24409.4488	8.46666667E-06	118110.23617397234	127.00000005
34551.0729459222	34831.4607	5.93333333E-06	168539.32593738165	88.99999995
49238.826317067418	50000	4.13333333E-06	241935.48406607698	61.99999995
70170.382867038337	70454.5455	2.93333333E-06	340909.0912964876	43.999999949999996
99999.999999999942	100000	2.06666667E-06	483870.96696149843	31.00000005
142510.26703029979	147619.048	1.4E-06	714285.71428571432	21
203091.76209047355	206666.667	1E-06	1000000	15
289426.61247167515	310000	6.66666667E-07	1499999.9992499999	10.000000005
412462.63829013542	442857.143	4.66666667E-07	2142857.1413265304	7.000000005
587801.60722749087	620000	3.33333333E-07	3000000.003	4.999999995
837677.64006829145	1033333.33	2E-07	5000000	3
1193776.6417144365	1550000	1.33333333E-07	7500000.01875	1.9999999950000003
1701254.2798525891	3100000	6.66666667E-08	14999999.992500002	1.0000000004999998
2424462.0170823294	3100000	6.66666667E-08	14999999.992500002	1.0000000004999998
3455107.2945922217	6700000	6.66666667E-08	14999999.992500002	1.0000000004999998
4923882.631706737	6700000	6.66666667E-08	14999999.992500002	1.0000000004999998
7017038.2867038259	10000000	6.66666667E-08	14999999.992500002	1.0000000004999998
10000000	10000000	6.66666667E-08	14999999.992500002	1.0000000004999998
