# REQ-TST-009 soak samples. 0.667 hours requested, sampling every 20 s, started 2026-07-30 13:15:02Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.011	16921928	16913736	148631552	675	21	27	2	0	1	8192	1	0
20.008	16920688	16920688	147058688	684	21	29	124	0	5	32768	1	0
40.02	16920688	16920688	147013632	684	21	29	244	0	5	32768	1	0
60.035	16920696	16920696	146890752	680	21	29	364	0	5	32768	1	0
80.05	16920552	16920552	146849792	678	21	29	484	0	5	32768	1	0
100.067	16920376	16920376	146849792	680	21	30	604	0	5	32768	1	0
120.082	16920376	16920376	146849792	680	21	30	724	0	5	32768	1	0
140.112	16920376	16920376	146726912	674	21	29	844	0	3	20480	1	0
160.131	16920304	16920304	146726912	674	21	29	965	0	5	32768	1	0
180.144	16920248	16920248	146726912	674	21	29	1085	0	5	32768	1	0
200.16	16928440	16928440	146726912	674	21	29	1205	0	5	32768	1	0
220.175	16920304	16920304	146726912	674	21	29	1325	0	5	32768	1	0
240.194	16920304	16920304	146726912	674	21	29	1445	0	5	32768	1	0
260.212	16920304	16920304	146726912	674	21	29	1565	0	5	32768	1	0
280.221	16920304	16920304	146726912	672	21	28	1685	0	5	32768	1	0
300.239	16920304	16920304	146808832	672	21	28	1805	0	5	32768	1	0
320.254	16920400	16920400	146808832	672	21	28	1925	0	5	32768	1	0
340.293	16920664	16920664	146939904	672	21	28	2045	0	3	20480	1	0
360.307	16920400	16920400	147021824	676	21	29	2166	0	5	32768	1	0
380.315	16920568	16920568	147021824	676	21	29	2286	0	5	32768	1	0
400.334	16920624	16920624	147021824	676	21	29	2406	0	5	32768	1	0
420.349	16920624	16920624	146939904	676	21	29	2526	0	5	32768	1	0
440.365	16920400	16920400	146939904	676	21	29	2646	0	5	32768	1	0
460.377	16920400	16920400	146939904	676	21	29	2766	0	5	32768	1	0
480.396	16920400	16920400	146857984	672	21	28	2886	0	5	32768	1	0
500.41	16920304	16920304	146857984	672	21	28	3006	0	5	32768	1	0
520.426	16921880	16921880	146857984	672	21	28	3126	2	5	32768	1	0
540.442	16921936	16921936	146817024	672	21	28	3246	2	5	32768	1	0
560.461	16921888	16921888	146857984	672	21	28	3367	2	5	32768	1	0
580.475	16921936	16921936	146857984	672	21	28	3487	2	5	32768	1	0
600.489	16921936	16921936	146898944	672	21	28	3607	2	5	32768	1	0
620.507	16921984	16921984	146898944	672	21	28	3727	2	5	32768	1	0
640.518	16921984	16921984	146898944	674	21	29	3847	2	5	32768	1	0
660.534	16921984	16921984	146898944	674	21	29	3967	2	5	32768	1	0
680.551	16921984	16921984	146857984	674	21	29	4087	2	5	32768	1	0
700.569	16921936	16921936	146857984	674	21	29	4207	2	5	32768	1	0
720.585	16921936	16921936	146857984	674	21	29	4327	2	5	32768	1	0
740.605	16921936	16921936	146857984	674	21	29	4447	2	5	32768	1	0
760.62	16926496	16926496	146857984	674	21	29	4567	2	3	20480	1	0
780.63	16921936	16921936	146857984	674	21	29	4688	2	5	32768	1	0
800.644	16921936	16921936	146857984	674	21	29	4808	2	5	32768	1	0
820.659	16921880	16921880	146857984	674	21	29	4928	2	5	32768	1	0
840.683	16921936	16921936	146857984	674	21	29	5048	2	5	32768	1	0
860.696	16921936	16921936	146857984	674	21	29	5168	2	5	32768	1	0
880.711	16921880	16921880	146894848	674	21	29	5288	2	5	32768	1	0
900.724	16921936	16921936	146894848	674	21	29	5408	2	5	32768	1	0
920.739	16921936	16921936	146894848	674	21	29	5528	2	5	32768	1	0
940.759	16921880	16921880	146894848	674	21	29	5648	2	5	32768	1	0
960.772	16921936	16921936	146894848	674	21	29	5768	2	5	32768	1	0
980.786	16921936	16921936	146894848	674	21	29	5889	2	5	32768	1	0
1000.804	16921936	16921936	146894848	674	21	29	6009	2	5	32768	1	0
1020.815	16921936	16921936	146894848	674	21	29	6129	2	5	32768	1	0
1040.835	16921936	16921936	146894848	674	21	29	6249	2	5	32768	1	0
1060.847	16921936	16921936	146894848	674	21	29	6369	2	5	32768	1	0
1080.864	16921936	16921936	146853888	672	21	28	6489	2	5	32768	1	0
1100.881	16921888	16921888	146894848	672	21	28	6609	2	5	32768	1	0
1120.893	16934216	16934216	146894848	672	21	28	6730	3	7	45056	1	0
1140.91	16934272	16934272	146894848	672	21	28	6851	3	7	45056	1	0
1160.929	16934272	16934272	146894848	672	21	28	6971	3	7	45056	1	0
1180.942	16934272	16934272	146894848	672	21	28	7091	3	5	32768	1	0
1200.959	16934272	16934272	146894848	672	21	28	7212	3	7	45056	1	0
1220.984	16934272	16934272	146894848	672	21	28	7332	3	7	45056	1	0
1241.003	16934272	16934272	147062784	672	21	28	7452	3	7	45056	1	0
1261.02	16934272	16934272	147062784	672	21	27	7572	3	7	45056	1	0
1281.034	16934272	16934272	147062784	674	21	29	7693	3	7	45056	1	0
1301.05	16934224	16934224	147062784	674	21	28	7813	4	7	45056	1	0
1321.068	16934272	16934272	147062784	674	21	28	7933	4	7	45056	1	0
1341.085	16934272	16934272	147021824	672	21	28	8053	4	7	45056	1	0
1361.1	16934224	16934224	147062784	672	21	28	8173	4	7	45056	1	0
1381.114	16934272	16934272	147062784	672	21	27	8293	4	5	32768	1	0
1401.13	16934272	16934272	147062784	672	21	28	8414	4	7	45056	1	0
1421.149	16934272	16934272	147062784	672	21	27	8534	4	7	45056	1	0
1441.16	16934272	16934272	147062784	674	21	28	8654	4	7	45056	1	0
1461.177	16934272	16934272	147062784	674	21	28	8774	4	7	45056	1	0
1481.208	16934272	16934272	147062784	674	21	28	8894	4	7	45056	1	0
1501.222	16934272	16934272	147062784	674	21	29	9014	4	7	45056	1	0
1521.242	16934272	16934272	147062784	674	21	28	9134	4	7	45056	1	0
1541.256	16934272	16934272	147230720	674	21	29	9254	4	7	45056	1	0
1561.272	16934272	16934272	147230720	674	21	29	9374	4	5	32768	1	0
1581.287	16934216	16934216	147230720	674	21	29	9495	4	7	45056	1	0
1601.306	16934272	16934272	147230720	674	21	28	9615	4	7	45056	1	0
1621.318	16934272	16934272	147230720	672	21	27	9735	4	7	45056	1	0
1641.334	16934272	16934272	147230720	672	21	27	9855	4	7	45056	1	0
1661.363	16934216	16934216	147230720	672	21	27	9975	4	7	45056	1	0
1681.38	16934272	16934272	147230720	672	21	27	10095	4	7	45056	1	0
1701.395	16934272	16934272	147230720	672	21	28	10215	4	7	45056	1	0
1721.409	16934272	16934272	147230720	672	21	27	10335	4	7	45056	1	0
1741.431	16934272	16934272	147230720	672	21	27	10455	4	7	45056	1	0
1761.442	16934272	16934272	147230720	672	21	28	10575	4	7	45056	1	0
1781.458	16938480	16938480	147230720	672	21	27	10695	4	5	32768	1	0
1801.476	16934272	16934272	147230720	672	21	28	10816	4	7	45056	1	0
1821.488	16934272	16934272	147230720	672	21	27	10936	4	7	45056	1	0
1841.503	16934272	16934272	147230720	672	21	28	11056	4	7	45056	1	0
1861.519	16949256	16949256	147230720	672	21	28	11176	4	7	45056	1	0
1881.535	16949200	16949200	147189760	672	21	28	11298	4	7	45056	1	0
1901.551	16949152	16949152	147230720	672	21	27	11419	5	7	45056	1	0
1921.568	16949200	16949200	147230720	672	21	27	11540	6	7	45056	1	0
1941.58	16949256	16949256	147230720	672	21	27	11660	6	7	45056	1	0
1961.599	16949256	16949256	147230720	672	21	27	11780	6	7	45056	1	0
1981.614	16953408	16953408	147230720	672	21	27	11900	6	5	32768	1	0
2001.628	16949256	16949256	147230720	672	21	28	12021	6	7	45056	1	0
2021.645	16949256	16949256	147230720	672	21	28	12141	6	7	45056	1	0
2041.661	16949256	16949256	147230720	672	21	27	12261	6	7	45056	1	0
2061.676	16949256	16949256	147230720	672	21	27	12381	6	7	45056	1	0
2081.692	16949256	16949256	147230720	674	21	29	12501	6	7	45056	1	0
2101.71	16949200	16949200	147230720	585	21	28	12622	6	7	45056	1	0
2121.727	16949200	16949200	147230720	585	21	29	12742	6	7	45056	1	0
2141.739	16949256	16949256	147230720	585	21	28	12862	6	7	45056	1	0
2161.754	16949256	16949256	147230720	585	21	29	12982	6	7	45056	1	0
2181.768	16949256	16949256	147230720	585	21	29	13102	6	7	45056	1	0
2201.784	16953464	16953464	147230720	585	21	28	13222	6	5	32768	1	0
2221.8	16949256	16949256	147230720	585	21	28	13343	6	7	45056	1	0
2241.817	16949200	16949200	147230720	585	21	29	13463	6	7	45056	1	0
2261.832	16949256	16949256	147230720	585	21	28	13583	6	7	45056	1	0
2281.849	16949256	16949256	147230720	585	21	29	13703	6	7	45056	1	0
2301.863	16949256	16949256	147230720	585	21	28	13823	6	7	45056	1	0
2321.879	16949200	16949200	147230720	585	21	29	13943	7	7	45056	1	0
2341.893	16949200	16949200	147230720	585	21	29	14064	8	7	45056	1	0
2361.909	16949256	16949256	147230720	585	21	28	14184	8	7	45056	1	0
2381.929	16949256	16949256	147230720	585	21	28	14304	8	7	45056	1	0
2401.942	16949256	16949256	147230720	585	21	29	14424	8	5	32768	1	0
