# REQ-TST-009 soak samples. 0.333 hours requested, sampling every 20 s, started 2026-07-30 12:53:53Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.009	16921752	16921752	146558976	680	21	27	1	2	3	20480	1	0
20.004	16946016	16946016	147210240	691	21	30	1559	553	5	32768	1	0
40.021	16937824	16937824	147169280	691	21	30	3135	1156	5	32768	1	0
60.036	16949000	16949000	148668416	687	21	30	4707	1752	7	45056	1	0
80.05	16975440	16975440	148668416	687	21	30	6303	2298	5	32768	1	0
100.075	16974528	16974528	148717568	695	21	31	7884	2855	5	32768	1	0
120.079	16970048	16970048	148717568	695	21	31	9491	3463	5	32768	1	0
140.094	16974256	16974256	148553728	689	21	31	11084	4112	5	32768	1	0
160.111	16970248	16970248	148553728	689	21	31	12666	4722	5	32768	1	0
180.125	16970728	16970728	148602880	696	21	32	14321	5430	5	32768	1	0
200.144	16971088	16971088	148606976	696	21	32	15933	6005	5	32768	1	0
220.158	16970768	16970768	148606976	696	21	32	17543	6543	5	32768	1	0
240.172	16970768	16970768	148606976	696	21	32	19139	7151	5	32768	1	0
260.189	16970768	16970768	148606976	696	21	32	20735	7681	5	32768	1	0
280.204	16970768	16970768	148606976	694	21	31	22315	8183	5	32768	1	0
300.218	16970768	16970768	148688896	694	21	31	23861	8686	5	32768	1	0
320.238	16975064	16975064	148688896	694	21	31	25458	9195	5	32768	1	0
340.248	16971192	16971192	148688896	694	21	31	27035	9712	5	32768	1	0
360.255	16971000	16971000	148770816	698	21	32	28584	10257	5	32768	1	0
380.264	16971096	16971096	148770816	698	21	32	30160	10734	5	32768	1	0
400.268	16971616	16971616	148688896	698	21	32	31764	11296	5	32768	1	0
420.286	16978152	16978152	148688896	698	21	32	33331	11888	5	32768	1	0
440.3	16971000	16971000	148688896	698	21	32	34922	12431	5	32768	1	0
460.315	16975560	16975560	148688896	698	21	32	36530	13026	5	32768	1	0
480.326	16971000	16971000	148606976	694	21	31	38089	13566	5	32768	1	0
500.328	16970776	16970776	148606976	694	21	31	39692	14226	5	32768	1	0
520.347	16974848	16974848	148606976	694	21	31	41304	14790	5	32768	1	0
540.36	16975344	16975344	148566016	694	21	31	42895	15366	5	32768	1	0
560.38	16974936	16974936	148606976	696	21	32	44487	15949	5	32768	1	0
580.394	16975336	16975336	148606976	696	21	32	46071	16535	5	32768	1	0
600.405	16971104	16971104	148647936	696	21	32	47684	17261	5	32768	1	0
620.421	16971232	16971232	148979712	696	21	32	49327	17960	5	32768	1	0
640.441	16970952	16970952	148647936	696	21	32	50945	18561	5	32768	1	0
660.46	16970952	16970952	148647936	696	21	32	52570	19154	7	45056	1	0
680.469	16974792	16974792	148606976	694	21	31	54167	19821	5	32768	1	0
700.486	16974984	16974984	148606976	694	21	31	55774	20376	5	32768	1	0
720.506	16974744	16974744	148606976	694	21	31	57370	20932	5	32768	1	0
740.52	16970776	16970776	148606976	694	21	31	58967	21500	5	32768	1	0
760.535	16970776	16970776	148606976	694	21	31	60545	22038	7	45056	1	0
780.545	16970776	16970776	148606976	694	21	31	62110	22610	5	32768	1	0
800.552	16970776	16970776	148606976	694	21	31	63701	23179	5	32768	1	0
820.56	16970776	16970776	148606976	696	21	32	65311	23898	5	32768	1	0
840.582	16974728	16974728	148606976	696	21	32	66886	24499	5	32768	1	0
860.597	16974848	16974848	148606976	696	21	32	68482	25114	5	32768	1	0
880.612	16975720	16975720	148606976	696	21	32	70075	25768	5	32768	1	0
900.624	16977928	16977928	148606976	696	21	32	71628	26320	5	32768	1	0
920.645	16971296	16971296	148606976	696	21	32	73219	26901	5	32768	1	0
940.658	16970776	16970776	148606976	696	21	32	74807	27547	5	32768	1	0
960.674	16970776	16970776	148606976	696	21	32	76394	28119	5	32768	1	0
980.688	16970776	16970776	148606976	696	21	32	78000	28716	5	32768	1	0
1000.704	16974984	16974984	148606976	696	21	32	79605	29292	5	32768	1	0
1020.721	16970776	16970776	148606976	696	21	32	81222	29930	5	32768	1	0
1040.736	16983176	16983176	148606976	696	21	32	82807	30557	5	32768	1	0
1060.758	16970776	16970776	148606976	696	21	32	84399	31116	5	32768	1	0
1080.769	16970776	16970776	148566016	694	21	31	85982	31710	5	32768	1	0
1100.787	16970728	16970728	148606976	694	21	31	87573	32287	5	32768	1	0
1120.799	16970776	16970776	148647936	694	21	31	89115	32888	5	32768	1	0
1140.817	17001128	17001128	147685376	694	21	31	90697	33397	5	32768	1	0
1160.827	17001408	17001408	147685376	694	21	31	92262	33823	5	32768	1	0
1180.846	17005688	17005688	147685376	694	21	31	93818	34314	5	32768	1	0
1200.859	17001408	17001408	147685376	694	21	31	95376	34793	5	32768	1	0
