# REQ-TST-009 soak samples. 0.333 hours requested, sampling every 20 s, started 2026-07-30 10:21:03Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.014	17032432	17032432	147279872	680	21	27	1	2	3	20480	1	0
20.01	17065408	17065408	147275776	691	21	30	1568	563	5	32768	1	0
40.016	17061568	17061568	147570688	692	21	30	3105	998	5	32768	1	0
60.016	17061528	17061528	148082688	688	21	30	4651	1325	5	32768	1	0
80.022	17061376	17061376	147410944	686	21	30	6196	1679	5	32768	1	0
100.031	17061328	17061328	147410944	686	21	30	7762	2057	5	32768	1	0
120.036	17061328	17061328	147673088	688	21	31	9327	2606	5	32768	1	0
140.051	17076144	17076144	147603456	689	21	31	10885	3124	5	32768	1	0
160.068	17079848	17079848	147603456	689	21	31	12438	3656	5	32768	1	0
180.083	17075920	17075920	147603456	689	21	31	13968	4071	5	32768	1	0
200.103	17075632	17075632	147865600	689	21	31	15541	4494	5	32768	1	0
220.113	17075640	17075640	147865600	689	21	31	17111	4975	5	32768	1	0
240.129	17079480	17079480	147865600	689	21	31	18663	5479	5	32768	1	0
260.147	17075648	17075648	147865600	689	21	31	20202	5883	7	45056	1	0
280.165	17075640	17075640	147824640	687	21	30	21754	6258	5	32768	1	0
300.173	17080152	17080152	147947520	689	21	31	23282	6754	5	32768	1	0
320.181	17076384	17076384	147947520	689	21	31	24831	7257	5	32768	1	0
340.193	17080416	17080416	147947520	689	21	31	26386	7670	5	32768	1	0
360.209	17080072	17080072	148029440	693	21	32	27969	8249	5	32768	1	0
380.219	17075960	17075960	148291584	693	21	32	29511	8746	5	32768	1	0
400.223	17077280	17077280	148340736	700	21	33	31062	9194	5	32768	1	0
420.235	17084152	17084152	148258816	698	21	32	32570	9579	5	32768	1	0
440.238	17077192	17077192	148389888	698	21	32	34095	10013	5	32768	1	0
460.253	17076904	17076904	148258816	698	21	32	35619	10419	5	32768	1	0
480.276	17076904	17076904	148176896	694	21	31	37186	10907	7	45056	1	0
500.295	17076688	17076688	148176896	694	21	31	38708	11303	5	32768	1	0
520.297	17076680	17076680	148180992	694	21	31	40219	11677	5	32768	1	0
540.302	17076688	17076688	148140032	694	21	31	41788	12120	5	32768	1	0
560.315	17076640	17076640	148180992	694	21	31	43340	12494	5	32768	1	0
580.335	17076968	17076968	148180992	694	21	31	44907	12976	5	32768	1	0
600.345	17076696	17076696	148221952	694	21	31	46481	13502	5	32768	1	0
620.365	17077184	17077184	148221952	694	21	31	48011	13926	5	32768	1	0
640.378	17076864	17076864	148221952	694	21	31	49570	14442	5	32768	1	0
660.396	17080896	17080896	148221952	696	21	32	51062	14880	5	32768	1	0
680.406	17076872	17076872	148180992	696	21	32	52606	15362	5	32768	1	0
700.411	17076976	17076976	148180992	696	21	32	54171	16046	5	32768	1	0
720.433	17076688	17076688	148180992	696	21	32	55756	16603	5	32768	1	0
740.445	17077208	17077208	148180992	696	21	32	57323	17139	5	32768	1	0
760.456	17077208	17077208	148180992	696	21	32	58875	17568	5	32768	1	0
780.474	17076680	17076680	148180992	696	21	32	60473	18222	5	32768	1	0
800.487	17077008	17077008	148180992	696	21	32	62025	18702	5	32768	1	0
820.503	17080528	17080528	148140032	694	21	31	63603	19332	5	32768	1	0
840.521	17081200	17081200	148180992	694	21	31	65173	19951	5	32768	1	0
860.532	17076688	17076688	148180992	694	21	31	66731	20337	5	32768	1	0
880.531	17076680	17076680	149184512	694	21	31	68239	20732	5	32768	1	0
900.534	17076688	17076688	148180992	695	21	31	69791	21115	5	32768	1	0
920.546	17076696	17076696	148180992	695	21	31	71343	21450	5	32768	1	0
940.55	17083840	17083840	148643840	695	21	31	72894	21833	5	32768	1	0
960.573	17083840	17083840	148185088	695	21	31	74475	22435	5	32768	1	0
980.583	17076688	17076688	148185088	695	21	31	76052	22995	5	32768	1	0
1000.602	17076688	17076688	148185088	695	21	31	77640	23517	5	32768	1	0
1020.615	17077208	17077208	148185088	697	21	32	79262	24131	4	24576	1	0
1040.626	17076688	17076688	148185088	697	21	32	80833	24578	5	32768	1	0
1060.63	17076688	17076688	148185088	697	21	32	82366	24972	5	32768	1	0
1080.642	17076960	17076960	148185088	697	21	32	83911	25378	5	32768	1	0
1100.647	17081424	17081424	148185088	697	21	32	85456	25913	5	32768	1	0
1120.658	17083840	17083840	148185088	697	21	32	87015	26380	5	32768	1	0
1140.682	17081248	17081248	148185088	697	21	32	88568	26861	5	32768	1	0
1160.689	17076688	17076688	148185088	697	21	32	90142	27311	5	32768	1	0
1180.711	17081456	17081456	148185088	697	21	32	91684	27810	5	32768	1	0
1200.72	17084880	17084880	148185088	697	21	32	93220	28347	5	32768	1	0
