# REQ-TST-009 soak samples. 0.333 hours requested, sampling every 20 s, started 2026-07-30 08:52:40Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.01	16933720	16933720	149700608	680	21	27	1	3	3	20480	1	0
20.007	16947960	16947960	170975232	691	21	30	1579	823	5	32768	1	0
40.029	16947968	16947968	166719488	691	21	30	3132	1604	7	45056	1	0
60.039	16952856	16952856	158625792	687	21	30	4713	2267	5	32768	1	0
80.057	16947768	16947768	160350208	685	21	30	6281	2884	7	45056	1	0
100.07	16951792	16951792	166690816	687	21	31	7846	3642	5	32768	1	0
120.082	16964104	16964104	166961152	690	21	31	9264	4525	5	32768	1	0
140.086	16948040	16948040	166838272	684	21	29	10621	5478	5	32768	1	0
160.145	16947448	16947448	164089856	681	21	30	12146	6339	5	32768	1	0
180.148	16948160	16948160	154259456	682	21	30	13746	7016	5	32768	1	0
200.163	16948168	16948168	154259456	682	21	30	15314	7506	5	32768	1	0
220.18	16952368	16952368	154259456	682	21	30	16908	7964	5	32768	1	0
240.19	16948168	16948168	154259456	682	21	30	18501	8432	5	32768	1	0
260.196	16955320	16955320	154259456	682	21	30	20120	8840	5	32768	1	0
280.206	16948168	16948168	154259456	682	21	29	21725	9280	5	32768	1	0
300.212	16954104	16954104	154349568	689	21	31	23371	9735	5	32768	1	0
320.223	16953472	16953472	154349568	689	21	30	24973	10160	5	32768	1	0
340.228	16949264	16949264	154353664	689	21	31	26553	10588	5	32768	1	0
360.243	16953472	16953472	154476544	695	21	31	28175	11043	5	32768	1	0
380.253	16949536	16949536	154476544	695	21	31	29777	11458	5	32768	1	0
400.259	16949536	16949536	154476544	695	21	32	31376	11898	5	32768	1	0
420.273	16954480	16954480	154435584	695	21	31	33017	12429	5	32768	1	0
440.289	16953696	16953696	154435584	695	21	31	34622	12919	5	32768	1	0
460.304	16956640	16956640	154435584	695	21	31	36221	13386	5	32768	1	0
480.335	16949488	16949488	154312704	692	21	31	37423	14264	5	32768	1	0
500.378	16949216	16949216	154312704	692	21	31	37791	15829	5	32768	1	0
520.416	16949216	16949216	154312704	692	21	31	38158	17325	5	32768	1	0
540.485	16949208	16949208	154312704	692	21	31	38526	18836	5	32768	1	0
560.496	16949216	16949216	154312704	692	21	31	38894	20443	5	32768	1	0
580.541	16949488	16949488	154312704	692	21	31	39262	21975	5	32768	1	0
600.584	16949208	16949208	154353664	692	21	31	39630	23592	5	32768	1	0
620.621	16949264	16949264	154353664	692	21	30	39998	25155	5	32768	1	0
640.68	16949264	16949264	154353664	692	21	31	40366	26715	5	32768	1	0
660.719	16953472	16953472	154353664	692	21	31	40734	28257	5	32768	1	0
680.786	16949264	16949264	154312704	690	21	30	41102	29846	5	32768	1	0
700.825	16949216	16949216	154312704	690	21	30	41470	31400	5	32768	1	0
720.872	16949216	16949216	154312704	690	21	30	41838	32956	4	24576	1	0
740.931	16949216	16949216	154312704	690	21	30	42206	34567	5	32768	1	0
761.018	16949224	16949224	154312704	690	21	30	42574	36195	5	32768	1	0
781.063	16949208	16949208	154312704	690	21	30	42942	37701	5	32768	1	0
801.093	16949216	16949216	154312704	690	21	30	43310	39325	5	32768	1	0
821.137	16949208	16949208	154312704	690	21	30	43678	40858	5	32768	1	0
841.158	16949216	16949216	154312704	690	21	30	44046	42393	5	32768	1	0
861.205	16953768	16953768	154312704	690	21	30	44414	43917	5	32768	1	0
881.212	16961968	16953776	154312704	690	21	29	44782	45481	5	32768	1	0
901.239	16949224	16949224	154312704	690	21	30	45150	46957	5	32768	1	0
921.303	16949216	16949216	154312704	690	21	30	45518	48537	5	32768	1	0
941.32	16949224	16949224	154312704	690	21	30	45886	50129	5	32768	1	0
961.346	16949208	16949208	154312704	690	21	30	46254	51691	5	32768	1	0
981.35	16950224	16950224	115294208	684	21	31	47710	52486	5	32768	1	0
1001.37	16954184	16954184	113696768	684	21	31	49310	52987	5	32768	1	0
1021.389	16950256	16950256	113696768	684	21	31	50947	53668	5	32768	1	0
1041.401	16950968	16950968	113745920	691	21	32	52536	54078	5	32768	1	0
1061.412	16951016	16951016	113745920	691	21	32	54116	54554	5	32768	1	0
1081.429	16955224	16955224	113745920	691	21	32	55633	54935	5	32768	1	0
1101.441	16951008	16951008	113750016	691	21	32	57156	55404	5	32768	1	0
1121.445	16951016	16951016	113750016	691	21	32	58700	55771	5	32768	1	0
1141.459	16964712	16964712	113750016	691	21	32	60291	56309	5	32768	1	0
1161.476	16964712	16964712	113750016	691	21	32	61854	56745	5	32768	1	0
1181.49	16964712	16964712	114884608	691	21	32	63446	57341	5	32768	1	0
1201.519	17012760	17012760	114884608	691	21	32	65001	58011	5	32768	1	0
