# REQ-TST-009 soak samples. 5000 cycles requested (all), started 2026-07-30 07:36:43Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.01	17075808	17067616	148799488	680	21	27	1	2	3	20480	1	0
5.964	17929736	17929736	179728384	687	22	27	350	5	1	8192	1	84
11.77	17904744	17904744	187715584	687	22	27	681	13	1	8192	1	168
17.517	17928304	17928304	188350464	687	22	27	1018	25	2	12288	1	252
23.246	17928368	17928368	182919168	687	22	27	1351	27	2	12288	1	336
28.968	17902800	17902800	188186624	689	22	27	1687	30	2	12288	1	420
34.75	17924208	17924208	185823232	687	22	27	2028	37	3	20480	1	504
40.429	17904536	17904536	189435904	689	22	28	2364	42	1	8192	1	588
46.024	17917944	17917944	188166144	689	22	28	2697	42	1	8192	1	672
51.716	17929760	17929760	180256768	691	22	29	3029	49	2	12288	1	756
57.396	17928328	17928328	194396160	691	22	29	3364	61	2	12288	1	840
62.998	17924160	17924160	194772992	687	22	29	3694	63	3	20480	1	924
68.62	18019912	18019912	188993536	687	22	29	4025	66	4	24576	1	1008
74.399	17929832	17929832	191238144	687	22	29	4361	70	1	8192	1	1092
80.109	17936312	17936312	196141056	689	22	30	4694	77	4	24576	1	1176
85.821	17933720	17933720	190283776	689	22	30	5027	83	2	12288	1	1260
91.422	17924016	17924016	190103552	689	22	30	5353	87	3	20480	1	1344
96.925	17929936	17929936	181624832	689	22	30	5679	97	1	8192	1	1428
102.471	17942280	17942280	181338112	689	22	30	6007	98	1	8192	1	1512
108.153	17949440	17949440	182562816	689	22	30	6332	109	2	12288	1	1596
113.878	17916712	17916712	190906368	690	22	30	6665	118	2	16384	1	1680
119.596	17898552	17898552	187498496	690	22	30	6996	127	3	20480	1	1764
125.488	17928120	17928120	183685120	688	22	30	7340	132	2	12288	1	1848
131.252	17904320	17904320	177520640	688	22	30	7681	138	1	8192	1	1932
136.982	17942168	17942168	190816256	682	22	29	8018	145	1	8192	1	2016
142.681	17929528	17929528	202342400	682	22	29	8353	153	1	8192	1	2100
148.315	17904064	17904064	197124096	682	22	29	8660	163	1	8192	1	2184
154.045	17929528	17929528	196194304	684	22	30	8993	167	1	8192	1	2268
159.76	17927752	17927752	193097728	686	22	31	9327	173	2	12288	1	2352
165.435	17923672	17923672	183119872	686	22	31	9656	181	2	12288	1	2436
171.023	17941632	17941632	192720896	686	22	31	9981	189	5	32768	1	2520
176.613	17904616	17904616	182804480	686	22	31	10304	193	1	8192	1	2604
182.179	17904048	17904048	194215936	686	22	31	10628	198	1	8192	1	2688
187.708	17923672	17923672	194543616	686	22	31	10950	203	3	20480	1	2772
193.35	17941960	17941960	195481600	686	22	31	11282	209	2	16384	1	2856
198.973	17904072	17904072	191225856	686	22	31	11600	214	1	8192	1	2940
204.619	17941848	17941848	184262656	686	22	31	11931	219	2	12288	1	3024
210.144	17929576	17929576	193359872	686	22	31	12253	225	1	8192	1	3108
215.663	17929296	17929296	194789376	686	22	31	12570	237	2	12288	1	3192
221.168	17904072	17904072	192888832	686	22	31	12888	241	1	8192	1	3276
226.719	17929552	17929552	187219968	686	22	31	13214	249	1	8192	1	3360
232.279	17929512	17929512	181616640	686	22	31	13536	256	1	8192	1	3444
237.832	17941960	17941960	192241664	686	22	31	13864	262	1	8192	1	3528
243.429	17929512	17929512	193347584	686	22	31	14189	268	1	8192	1	3612
249.132	17941896	17941896	189550592	686	22	31	14521	271	1	8192	1	3696
254.632	17929296	17929296	198111232	686	22	31	14839	276	2	12288	1	3780
260.136	17929512	17929512	197959680	686	22	31	15164	279	1	8192	1	3864
265.757	17904112	17904112	197357568	686	22	31	15491	280	1	8192	1	3948
271.405	17954800	17954800	187150336	688	22	32	15819	285	2	12288	1	4032
276.914	17929576	17929576	194531328	688	22	32	16141	286	1	8192	1	4116
282.474	17945960	17945960	194060288	688	22	32	16472	295	1	8192	1	4200
288.144	17916456	17916456	197332992	688	22	32	16804	297	1	8192	1	4284
293.78	17923632	17923632	182599680	688	22	32	17134	300	2	12288	1	4368
299.321	17903032	17903032	192299008	688	22	32	17458	307	2	12288	1	4452
304.883	17929776	17929776	188616704	688	22	32	17783	310	1	8192	1	4536
310.47	17904752	17904752	200904704	688	22	32	18113	314	1	8192	1	4620
316.026	17923856	17923856	194572288	688	22	32	18443	321	2	12288	1	4704
321.61	17929776	17929776	192458752	688	22	32	18773	324	1	8192	1	4788
327.18	17929776	17929776	194281472	688	22	32	19097	330	1	8192	1	4872
332.736	17892176	17892176	199823360	688	22	32	19425	335	1	8192	1	4956
335.623	17929800	17929800	190914560	688	22	32	19592	336	1	8192	1	5000
