# REQ-TST-009 soak samples. 5000 cycles requested (none), started 2026-07-30 08:03:08Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.01	16979640	16979640	148062208	680	21	27	1	1	3	20480	1	0
0.027	16977344	16977344	148725760	681	21	27	2	2	3	20480	1	8
0.043	16977504	16977504	148725760	681	21	27	3	2	3	20480	1	16
0.058	16977504	16977504	148725760	681	21	27	4	2	5	32768	1	24
0.07	16977832	16977832	148725760	681	21	27	4	2	3	20480	1	32
0.085	16977504	16977504	148725760	681	21	27	5	2	5	32768	1	40
0.098	16977600	16977600	148725760	681	21	27	5	2	3	20480	1	48
0.114	16977504	16977504	148725760	681	21	27	6	2	5	32768	1	56
0.128	16978152	16978152	148725760	681	21	27	6	2	3	20480	1	64
0.142	16978288	16978288	148725760	681	21	27	7	2	5	32768	1	72
0.155	16978296	16978296	148725760	681	21	27	7	2	5	32768	1	80
0.168	16978296	16978296	148725760	681	21	27	7	2	3	20480	1	88
0.182	16978288	16978288	148725760	681	21	27	8	2	5	32768	1	96
0.2	16978608	16978608	148725760	681	21	27	8	2	3	20480	1	104
0.215	16978288	16978288	148725760	681	21	27	9	2	3	20480	1	112
0.23	16978432	16978432	148725760	681	21	27	10	2	3	20480	1	120
0.245	16978424	16978424	148725760	681	21	27	11	2	5	32768	1	128
0.258	16978744	16978744	148725760	681	21	27	11	2	3	20480	1	136
0.272	16978424	16978424	148725760	681	21	27	12	2	5	32768	1	144
0.286	16978712	16978712	148725760	681	21	27	12	2	3	20480	1	152
0.301	16978424	16978424	148725760	681	21	27	13	2	5	32768	1	160
0.314	16978424	16978424	148725760	681	21	27	13	2	3	20480	1	168
0.329	16978424	16978424	148725760	681	21	27	14	2	5	32768	1	176
0.341	16978432	16978432	148725760	681	21	27	14	2	3	20480	1	184
0.358	16978424	16978424	148725760	681	21	27	15	2	3	20480	1	192
0.373	16978424	16978424	148725760	681	21	27	16	2	3	20480	1	200
0.391	16978424	16978424	148725760	681	21	27	17	2	3	20480	1	208
0.406	16978424	16978424	148725760	681	21	27	18	2	3	20480	1	216
0.422	16978424	16978424	148725760	681	21	27	19	2	3	20480	1	224
0.437	16978424	16978424	148725760	681	21	27	20	2	3	20480	1	232
0.452	16978424	16978424	148725760	681	21	27	21	2	3	20480	1	240
0.466	16978424	16978424	148725760	681	21	27	22	2	3	20480	1	248
0.481	16978424	16978424	148725760	681	21	27	23	2	3	20480	1	256
0.497	16978424	16978424	148725760	681	21	27	24	2	3	20480	1	264
0.513	16978424	16978424	148725760	681	21	27	25	2	3	20480	1	272
0.528	16978424	16978424	148725760	681	21	27	26	2	3	20480	1	280
