# REQ-TST-009 soak samples. 5000 cycles requested (all), started 2026-07-30 07:55:22Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.01	16924144	16924144	146956288	680	21	27	1	2	3	20480	1	0
0.623	17807232	17807232	173133824	687	22	27	37	4	1	8192	1	8
1.164	17773176	17773176	177709056	687	22	27	69	4	1	8192	1	16
1.71	17786336	17786336	176840704	687	22	27	101	4	1	8192	1	24
2.265	17784656	17784656	181788672	687	22	27	133	5	2	12288	1	32
2.844	17798752	17798752	179200000	687	22	27	166	6	2	16384	1	40
3.43	17777496	17777496	176623616	687	22	27	199	8	2	12288	1	48
4.012	17767544	17767544	174796800	687	22	27	230	11	3	20480	1	56
4.557	17786584	17786584	178241536	687	22	27	263	11	1	8192	1	64
5.127	17810400	17810400	172896256	687	22	27	296	11	2	12288	1	72
5.688	17784896	17784896	179093504	687	22	27	329	11	2	12288	1	80
6.234	17786648	17786648	177614848	687	22	27	362	11	1	8192	1	88
6.816	17786648	17786648	178749440	687	22	27	395	16	1	8192	1	96
7.391	17780704	17780704	176136192	687	22	27	429	17	2	12288	1	104
7.967	17786584	17786584	185303040	687	22	27	463	17	1	8192	1	112
8.533	17773424	17773424	184872960	687	22	27	497	17	1	8192	1	120
9.121	17818504	17818504	178581504	687	22	27	530	18	2	12288	1	128
9.686	17784808	17784808	173117440	687	22	27	564	18	2	12288	1	136
10.242	17755224	17755224	179433472	687	22	27	598	18	3	20480	1	144
10.829	17786608	17786608	185995264	687	22	27	632	19	1	8192	1	152
11.403	17786584	17786584	178597888	687	22	27	667	19	1	8192	1	160
12.009	17786584	17786584	178499584	687	22	27	701	20	1	8192	1	168
12.552	17784832	17784832	185110528	687	22	27	731	23	2	12288	1	176
13.124	17784832	17784832	181772288	687	22	27	763	23	2	12288	1	184
13.695	17786544	17786544	188563456	687	22	27	796	28	1	8192	1	192
14.281	17786584	17786584	181506048	687	22	27	831	28	1	8192	1	200
14.868	17785120	17785120	187740160	687	22	27	866	28	2	12288	1	208
15.407	17780664	17780664	183115776	687	22	27	897	29	2	12288	1	216
15.969	17797168	17797168	177623040	687	22	27	926	33	4	24576	1	224
16.54	17786264	17786264	184512512	687	22	27	959	33	2	12288	1	232
17.122	17759336	17759336	185921536	687	22	27	992	34	2	12288	1	240
17.65	17810336	17810336	170930176	687	22	27	1024	34	2	12288	1	248
18.214	17735600	17735600	183906304	687	22	27	1057	34	1	8192	1	256
18.755	17786648	17786648	190119936	687	22	27	1088	38	1	8192	1	264
19.348	17761080	17761080	184983552	687	22	27	1122	39	1	8192	1	272
19.933	17773424	17773424	178638848	687	22	27	1156	40	1	8192	1	280
20.513	17761080	17761080	189689856	687	22	27	1191	40	1	8192	1	288
21.088	17790432	17790432	186884096	687	22	27	1224	42	3	20480	1	296
21.689	17786584	17786584	183939072	687	22	27	1257	43	1	8192	1	304
22.262	17784832	17784832	178597888	687	22	27	1289	44	2	12288	1	312
22.854	17777544	17777544	177807360	687	22	27	1323	45	2	12288	1	320
23.409	17761040	17761040	186322944	687	22	27	1357	45	1	8192	1	328
23.955	17784896	17784896	186130432	687	22	27	1389	45	2	12288	1	336
24.484	17798992	17798992	190128128	687	22	27	1420	45	1	8192	1	344
25.072	17786328	17786328	184610816	687	22	27	1452	50	3	20480	1	352
25.621	17784896	17784896	191037440	687	22	27	1484	50	2	12288	1	360
26.211	17810336	17810336	174243840	687	22	27	1519	51	2	12288	1	368
26.767	17786544	17786544	179159040	687	22	27	1551	52	1	8192	1	376
27.355	17786544	17786544	182464512	687	22	27	1587	52	1	8192	1	384
