# REQ-TST-009 soak samples. 8 hours requested, sampling every 60 s, started 2026-08-02 01:51:22Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.009	16859784	16851592	147857408	702	21	26	3	0	3	20480	1	0
60.003	22054048	0	148152320	707	21	29	1101	2349	5	32768	1	0
120.048	21140784	0	147959808	705	21	29	2195	4744	7	45056	1	0
180.076	19897208	0	147714048	701	21	29	3291	7097	7	45056	1	0
240.126	19493872	0	148111360	701	21	29	4388	9493	7	45056	1	0
300.686	32719136	0	176439296	716	22	29	5495	11873	4	24576	1	1
360.765	37352752	0	156188672	716	22	30	6592	14265	4	28672	1	1
420.767	35690744	0	152535040	707	22	29	7689	16630	4	28672	1	1
480.819	34169712	0	152694784	703	22	29	8786	18947	4	28672	1	1
540.849	38049488	0	152559616	703	22	29	9882	21290	4	28672	1	1
602.005	17834912	17834912	160260096	714	22	29	10994	23706	4	24576	1	2
662.001	18798384	0	149413888	699	22	29	14418	23714	5	32768	1	2
721.999	18674568	0	149250048	699	22	29	17792	23721	4	24576	1	2
781.999	19140568	0	149315584	699	22	29	21189	23730	4	24576	1	2
842	19725904	0	149250048	699	22	29	24606	23742	4	24576	1	2
902.152	32706480	0	163368960	713	22	28	27977	23756	3	20480	1	3
962.157	33411832	0	159711232	703	22	27	31401	23767	3	20480	1	3
1022.155	33728656	0	155938816	700	22	27	34808	23776	5	32768	1	3
1082.157	34725096	0	156069888	702	22	28	38265	23784	3	20480	1	3
1142.156	35559688	0	156004352	702	22	28	41717	23793	5	32768	1	3
1202.332	17846520	17846520	155504640	714	22	29	45114	23812	3	20480	1	4
1262.33	18045216	0	145137664	713	22	31	48477	23820	3	20480	1	4
1322.33	18156712	0	145141760	713	22	31	51856	23825	4	28672	1	4
1382.328	18591248	0	145797120	713	22	31	55247	23838	4	28672	1	4
1442.327	19218888	0	145797120	713	22	31	58662	23838	4	28672	1	4
1502.404	33002432	0	164720640	750	22	31	62116	23854	3	20480	1	5
1562.406	33865608	0	154275840	722	22	31	65547	23865	3	20480	1	5
1622.407	34261784	0	153071616	716	22	31	68982	23877	3	20480	1	5
1682.41	34722192	0	153071616	716	22	31	72364	23885	4	28672	1	5
1742.407	35361320	0	153071616	716	22	31	75777	23898	4	28672	1	5
1802.485	17837904	17837904	159793152	745	22	31	79123	23906	3	20480	1	6
1862.483	18194912	0	147173376	713	22	31	82473	23926	3	20480	1	6
1922.483	17994536	0	147087360	711	22	30	85829	23932	3	20480	1	6
1982.484	18612128	0	147218432	713	22	31	89233	23942	4	28672	1	6
2042.484	19044520	0	147095552	713	22	31	92640	23950	3	20480	1	6
2102.544	32672704	0	165232640	657	22	31	96061	23960	4	28672	1	7
2162.548	33819136	0	155406336	630	22	31	99499	23970	5	32768	1	7
2222.546	33986184	0	152719360	627	22	31	102925	23973	5	32768	1	7
2282.547	34277080	0	152850432	627	22	31	106317	23981	5	32768	1	7
2342.546	34231192	0	153378816	627	22	31	109705	23986	5	32768	1	7
2402.707	17848392	17848392	154390528	639	22	31	113139	23995	2	12288	1	8
2462.702	18871184	0	144662528	622	22	30	116569	24009	4	28672	1	8
