# REQ-TST-009 soak samples. 8 hours requested, sampling every 60 s, started 2026-07-29 22:14:56Z
elapsed_s	managed_b	collected_b	private_b	handles	gdi	user	frames_drawn	frames_dropped	pooled_buffers	pooled_b	traces	cycles
0.011	17058800	17050608	147070976	688	21	28	1	2	3	20480	1	0
59.988	18940416	0	137822208	714	21	33	3457	132	3	20480	1	0
119.986	22624400	0	138059776	714	21	33	7031	156	5	32768	1	0
179.986	18917784	0	138067968	708	21	32	10580	174	5	32768	1	0
239.986	20831168	0	141066240	713	21	32	14121	203	5	32768	1	0
299.986	23415072	0	141369344	707	21	31	17665	261	5	32768	1	0
360.112	31184768	0	170930176	724	22	33	21234	280	3	20480	1	1
420.112	34950008	0	163917824	721	22	32	24807	301	2	16384	1	1
480.111	31845984	0	163717120	717	22	32	28370	314	3	24576	1	1
540.111	34987672	0	163577856	717	22	32	31938	330	3	24576	1	1
600.201	17756944	17756944	165240832	715	22	32	35518	372	1	8192	1	2
660.211	20108864	0	155987968	710	22	32	39111	383	3	24576	1	2
720.206	21845304	0	156680192	708	22	31	42687	386	3	24576	1	2
780.205	18585672	0	156680192	710	22	32	46271	401	3	24576	1	2
840.205	20513176	0	156528640	710	22	32	49870	403	2	16384	1	2
900.284	31164008	0	171003904	716	22	32	53453	407	2	16384	1	3
960.285	32879584	0	162066432	713	22	31	57027	411	5	32768	1	3
1020.285	34791728	0	162721792	713	22	32	60610	418	5	32768	1	3
1080.285	36329856	0	162504704	713	22	32	64184	418	5	32768	1	3
1140.285	32705104	0	162574336	713	22	32	67738	427	5	32768	1	3
1200.372	17766248	17766248	159473664	715	22	32	71318	433	4	24576	1	4
1260.377	20008688	0	152346624	710	22	32	74893	450	5	32768	1	4
1320.377	21670344	0	152244224	708	22	31	78460	456	5	32768	1	4
1380.377	18195880	0	152309760	710	22	32	82033	466	5	32768	1	4
1440.377	20424440	0	152313856	710	22	32	85634	474	5	32768	1	4
1500.449	31100968	0	173367296	716	22	32	89213	480	3	20480	1	5
1560.44	33260216	0	165539840	714	22	31	92801	486	4	28672	1	5
1620.44	34896336	0	163069952	711	22	31	96359	496	4	28672	1	5
1680.44	31138664	0	163201024	713	22	32	99905	508	4	28672	1	5
1740.44	32586776	0	163721216	713	22	32	103419	523	4	28672	1	5
1800.529	17763224	17763224	160784384	715	22	32	106981	539	3	20480	1	6
1860.535	19938152	0	150368256	708	22	31	110568	543	3	24576	1	6
1920.535	22261112	0	151023616	710	22	32	114151	555	2	16384	1	6
1980.535	19274880	0	151023616	710	22	32	117761	574	3	24576	1	6
2040.535	21158920	0	151023616	710	22	32	121321	589	3	24576	1	6
2100.602	31819136	0	175591424	647	22	32	124892	593	2	16384	1	7
2160.597	33596696	0	166973440	644	22	32	128471	596	5	32768	1	7
2220.596	34490720	0	157380608	628	22	32	132034	597	3	20480	1	7
2280.596	36210136	0	157380608	630	22	33	135607	603	3	20480	1	7
2340.596	32639296	0	158044160	630	22	33	139185	618	3	20480	1	7
2400.696	17767288	17767288	157700096	631	22	32	142778	630	4	24576	1	8
